type,years,IMDB,Box_office
Action,1954,8.7,269061.0
Action,1962,7.3,16067035.0
Action,1963,7.55,35550000.0
Action,1964,8.0,3500000.0
Action,1965,7.0,63600000.0
Action,1967,6.9,43100000.0
Action,1969,6.8,22800000.0
Action,1970,7.5,14500000.0
Action,1971,6.7,43800000.0
Action,1973,6.8,35400000.0
Action,1974,6.8,21000000.0
Action,1976,6.8,25000000.0
Action,1977,7.9,253867832.0
Action,1978,7.3,134218018.0
Action,1979,6.3,62700000.0
Action,1980,7.05,114889688.0
Action,1981,6.96,62603166.0
Action,1982,5.7,43644553.0
Action,1983,6.48,100945082.0
Action,1984,6.94,78853077.0
Action,1985,6.68,63203858.0
Action,1986,6.93,60383278.0
Action,1987,5.85,42987092.0
Action,1988,6.58,46145724.0
Action,1989,6.76,66379688.0
Action,1990,6.61,78925526.0
Action,1991,6.11,55060328.0
Action,1992,6.61,61513046.0
Action,1993,6.47,41947523.0
Action,1994,6.0,55444966.0
Action,1995,6.2,56684879.0
Action,1996,6.18,74283123.0
Action,1997,5.8,52888559.0
Action,1998,6.51,56460367.0
Action,1999,5.94,78978370.0
Action,2000,6.14,72205932.0
Action,2001,6.03,69085621.0
Action,2002,6.1,80291016.0
Action,2003,6.23,95042993.0
Action,2004,6.39,62873109.0
Action,2005,6.08,64784311.0
Action,2006,6.19,85978666.0
Action,2007,6.34,93680426.0
Action,2008,6.5,89056842.0
Action,2009,6.13,101173762.0
Action,2010,6.22,77200632.0
Action,2011,6.26,78469631.0
Action,2012,6.36,94809319.0
Action,2013,6.53,80288958.0
Action,2014,6.41,107696946.0
Action,2015,6.28,107000272.0
Action,2016,6.48,102860017.0
Drama,1927,8.3,26435.0
Drama,1936,8.6,163245.0
Drama,1939,8.2,198655278.0
Drama,1946,7.5,22025000.0
Drama,1947,7.7,7927.0
Drama,1952,6.7,36000000.0
Drama,1953,6.8,36000000.0
Drama,1954,8.45,4934530.0
Drama,1961,7.6,43650000.0
Drama,1962,8.4,6000000.0
Drama,1963,7.0,57750000.0
Drama,1964,7.95,37750000.0
Drama,1965,7.53,94312095.0
Drama,1968,7.5,16800000.0
Drama,1969,7.65,51167896.0
Drama,1970,6.63,9500000.0
Drama,1971,6.75,32590000.0
Drama,1972,9.2,134821952.0
Drama,1973,7.73,91544215.0
Drama,1975,8.35,186000000.0
Drama,1976,8.1,117235247.0
Drama,1977,7.13,60033333.0
Drama,1978,7.3,134218018.0
Drama,1979,7.67,48166667.0
Drama,1980,6.9,15836312.0
Drama,1981,7.8,35116567.0
Drama,1982,7.47,81766667.0
Drama,1983,7.07,38216667.0
Drama,1984,7.17,42722222.0
Drama,1985,7.42,53817476.0
Drama,1986,6.41,52923728.0
Drama,1987,6.85,50599164.0
Drama,1988,6.93,44992818.0
Drama,1989,7.43,47007776.0
Drama,1990,7.18,77779806.0
Drama,1991,6.72,41224703.0
Drama,1992,7.05,50871537.0
Drama,1993,7.17,47576825.0
Drama,1994,7.18,76493522.0
Drama,1995,6.87,41266799.0
Drama,1996,6.55,38861227.0
Drama,1997,7.03,45701542.0
Drama,1998,6.81,35107058.0
Drama,1999,6.68,30168918.0
Drama,2000,6.62,39287730.0
Drama,2001,6.61,32285999.0
Drama,2002,6.67,32770143.0
Drama,2003,6.82,30501860.0
Drama,2004,6.88,26628291.0
Drama,2005,6.77,28039780.0
Drama,2006,6.79,28790039.0
Drama,2007,6.95,32099723.0
Drama,2008,6.69,41122117.0
Drama,2009,6.64,32863480.0
Drama,2010,6.59,32078448.0
Drama,2011,6.73,31084130.0
Drama,2012,6.64,46951657.0
Drama,2013,6.9,37521041.0
Drama,2014,6.61,50448321.0
Drama,2015,6.7,47916748.0
Drama,2016,6.58,69987645.0
